motor/temperature,motor/rpm,motor/current,motor/vibration/rmsX,motor/vibration/rmsY,motor/vibration/rmsZ,motor/vibration/crestX,motor/vibration/crestY,motor/vibration/crestZ
24.86,600,3.66,0.0069,0.0093,1.0241,1.4512,1.6861,1.0345

24.86,600,3.66,0.0069,0.0093,1.0241,1.4512,1.6861,1.0344

24.86,620,3.66,0.0069,0.0093,1.0241,1.4512,1.6861,1.0344

24.87,620,3.66,0.0069,0.0093,1.0241,1.4512,1.6861,1.0344

24.87,620,3.67,0.0069,0.0093,1.0241,1.4512,1.6861,1.0344

24.87,620,3.67,0.0069,0.0093,1.0241,1.4512,1.6861,1.0344

24.87,620,3.67,0.0069,0.0092,1.0241,1.4512,1.6861,1.0344

24.87,620,3.67,0.0069,0.0092,1.0254,1.4512,1.6861,1.0344

24.87,620,3.67,0.0069,0.0092,1.0254,1.477,1.6861,1.0344

24.87,620,3.67,0.0069,0.0092,1.0254,1.477,1.6279,1.0344

24.87,620,3.67,0.0069,0.0092,1.0254,1.477,1.6279,1.035

